QualifiedApiName,Label,KeyPrefix,DurableId,NamespacePrefix,IsCustomizable,IsCustomSetting
AcceptedEventRelation,参加行動リレーション,,AcceptedEventRelation,,false,false
Account,取引先,001,Account,,true,false
AccountChangeEvent,取引先 変更イベント,1CE,AccountChangeEvent,,false,false
AccountCleanInfo,取引先クリーンアップ情報,1CA,AccountCleanInfo,,true,false
AccountCleanInfoChangeEvent,取引先クリーンアップ情報 変更イベント,1CE,AccountCleanInfoChangeEvent,,false,false
AccountContactRole,取引先責任者の役割,02Z,AccountContactRole,,false,false
AccountContactRoleChangeEvent,取引先責任者の役割 変更イベント,1CE,AccountContactRoleChangeEvent,,false,false
AccountFeed,取引先フィード,0D5,AccountFeed,,false,false
AccountHistory,取引先履歴,017,AccountHistory,,false,false
AccountPartner,取引先パートナー,00I,AccountPartner,,false,false
AccountShare,取引先の共有,00r,AccountShare,,false,false
ActionLinkGroupTemplate,アクションリンクグループテンプレート,07g,ActionLinkGroupTemplate,,false,false
ActionLinkTemplate,アクションリンクテンプレート,07l,ActionLinkTemplate,,false,false
ActivationTarget,有効化対象,85U,ActivationTarget,,true,false
ActivationTargetFeed,有効化対象 フィード,0D5,ActivationTargetFeed,,false,false
ActivationTargetHistory,有効化対象履歴,017,ActivationTargetHistory,,false,false
ActivationTargetPlatform,有効化対象プラットフォーム,4q9,ActivationTargetPlatform,,false,false
ActivationTargetPlatformHistory,有効化対象プラットフォーム履歴,017,ActivationTargetPlatformHistory,,false,false
ActivationTargetPlatformShare,有効化対象プラットフォーム 共有,02c,ActivationTargetPlatformShare,,false,false
ActivationTargetSecureFTP,有効化対象セキュア FTP,16R,ActivationTargetSecureFTP,,false,false
ActivationTargetShare,有効化対象 共有,02c,ActivationTargetShare,,false,false
ActivationTrgtIntOrgAccess,有効化対象の内部組織アクセス,85V,ActivationTrgtIntOrgAccess,,false,false
ActivationTrgtIntOrgAccessFeed,有効化対象の内部組織アクセス フィード,0D5,ActivationTrgtIntOrgAccessFeed,,false,false
ActivationTrgtIntOrgAccessHistory,有効化対象の内部組織アクセス履歴,017,ActivationTrgtIntOrgAccessHistory,,false,false
ActivationTrgtIntOrgAccessShare,有効化対象の内部組織アクセス 共有,02c,ActivationTrgtIntOrgAccessShare,,false,false
ActiveFeatureLicenseMetric,有効な機能ライセンスメトリクス,5H2,ActiveFeatureLicenseMetric,,false,false
ActivePermSetLicenseMetric,有効な権限セットライセンスメトリクス,5H1,ActivePermSetLicenseMetric,,false,false
ActiveProfileMetric,有効なプロファイルメトリクス,5H0,ActiveProfileMetric,,false,false
ActiveScratchOrg,有効なスクラッチ組織,2AS,ActiveScratchOrg,,true,false
ActiveScratchOrgFeed,有効なスクラッチ組織フィード,0D5,ActiveScratchOrgFeed,,false,false
ActiveScratchOrgHistory,有効なスクラッチ組織の履歴,017,ActiveScratchOrgHistory,,false,false
ActiveScratchOrgShare,有効なスクラッチ組織 共有,02c,ActiveScratchOrgShare,,false,false
ActivityFieldHistory,Activity Field Histories,2fp,ActivityFieldHistory,,false,false
ActivityHistory,活動履歴,,ActivityHistory,,false,false
ActorReactiveAskRespEvent,アクター反応型質問応答イベント,1s9,ActorReactiveAskRespEvent,,false,false
ActualAmount__c,実績,a12,01IdL00000Bcl2n,,true,false
ActualAmount__ChangeEvent,変更イベント: 実績,1CE,01IdL00000Bcl2n.ChangeEvent,,false,false
ActualAmount__History,履歴: 実績,017,01IdL00000Bcl2n.History,,false,false
ActvTgtPlatformFieldValue,有効化対象プラットフォーム項目値,3q9,ActvTgtPlatformFieldValue,,false,false
ActvTgtPlatformFieldValueHistory,有効化対象プラットフォーム項目値履歴,017,ActvTgtPlatformFieldValueHistory,,false,false
